x,Lib 1,Lib 2,Lib 3,Lib 4,Lib 5,Lib 6,Lib 7
202044,74.0,0.0,5.0,14.0,10.0,197.0,160.0
202045,107.0,0.0,3.0,97.0,74.0,107.0,219.0
202046,49.0,0.0,5.0,28.0,95.0,88.0,163.0
202047,159.0,34.0,30.0,46.0,139.0,133.0,225.0
202048,113.0,97.0,10.0,93.0,105.0,131.0,276.0
202049,94.0,0.0,45.0,154.0,89.0,147.0,275.0
202050,72.0,347.0,12.0,8.0,35.0,0.0,34.0
202051,0.0,96.0,0.0,27.0,1.0,0.0,0.0
202101,2.0,0.0,19.0,0.0,6.0,0.0,0.0
202102,100.0,8.0,73.0,87.0,0.0,60.0,33.0
202103,0.0,116.0,70.0,107.0,0.0,219.0,250.0
202104,26.0,90.0,20.0,0.0,0.0,55.0,181.0
202105,132.0,4.0,52.0,10.0,138.0,112.0,90.0
202106,139.0,140.0,67.0,10.0,156.0,119.0,84.0
202107,124.0,50.0,86.0,144.0,130.0,177.0,258.0
202108,136.0,355.0,116.0,94.0,152.0,170.0,229.0
202109,113.0,154.0,45.0,93.0,130.0,154.0,219.0
202110,115.0,21.0,40.0,106.0,124.0,196.0,229.0
202111,102.0,139.0,49.0,190.0,181.0,172.0,278.0
202112,82.0,163.0,72.0,189.0,101.0,81.0,173.0
202113,0.0,0.0,107.0,0.0,0.0,0.0,0.0
202114,134.0,114.0,59.0,103.0,143.0,174.0,38.0
202115,128.0,44.0,21.0,112.0,135.0,208.0,0.0
202116,127.0,428.0,11.0,47.0,167.0,138.0,0.0
202117,79.0,430.0,17.0,2.0,116.0,146.0,0.0
202118,106.0,0.0,69.0,164.0,143.0,212.0,259.0
202119,151.0,0.0,33.0,34.0,185.0,201.0,292.0
202120,120.0,0.0,38.0,164.0,159.0,211.0,233.0
202121,145.0,209.0,36.0,0.0,121.0,179.0,245.0
202122,165.0,241.0,35.0,0.0,178.0,178.0,262.0
202123,119.0,252.0,94.0,68.0,177.0,185.0,232.0
202124,116.0,445.0,39.0,30.0,125.0,145.0,274.0
202125,91.0,506.0,16.0,31.0,94.0,172.0,242.0
202126,124.0,266.0,30.0,42.0,177.0,178.0,246.0
202127,138.0,160.0,0.0,126.0,122.0,143.0,209.0
202128,123.0,961.0,0.0,76.0,165.0,161.0,260.0
202129,85.0,1259.0,13.0,11.0,109.0,106.0,239.0
202130,67.0,422.0,3.0,2.0,102.0,142.0,252.0
202131,87.0,473.0,53.0,65.0,141.0,185.0,286.0
202132,119.0,87.0,27.0,86.0,120.0,146.0,230.0
202133,65.0,88.0,35.0,313.0,98.0,152.0,259.0
202134,97.0,0.0,20.0,130.0,107.0,123.0,213.0
202135,116.0,153.0,98.0,44.0,161.0,168.0,252.0
202136,77.0,244.0,70.0,24.0,121.0,0.0,142.0
202137,104.0,125.0,63.0,37.0,208.0,0.0,265.0
202138,130.0,111.0,23.0,0.0,186.0,0.0,259.0
202139,155.0,225.0,52.0,22.0,170.0,0.0,266.0
202140,99.0,111.0,57.0,43.0,135.0,36.0,233.0
202141,74.0,286.0,22.0,58.0,91.0,102.0,75.0
202142,159.0,265.0,62.0,62.0,143.0,165.0,215.0
202143,142.0,582.0,56.0,62.0,154.0,153.0,222.0
202144,60.0,80.0,37.0,18.0,111.0,70.0,146.0
