Ciências Agrárias,Ciências Biológicas,Ciências da Saúde,Ciência Exatas e da Terra,Engenharias,Ciências Humanas,Ciências Sociais Aplicadas,"Linguística, Letras e Artes",Interdisciplinar,x
260886.16999999987,856212.04,102654.55999999997,1478752.1100000008,274983.82999999996,77379.13,39319.11,57202.37000000001,0,1992
1388929.5700000008,5773448.070000004,1279224.4599999997,5937216.550000001,2442418.0499999993,882257.7700000003,303464.4000000001,204907.90000000002,0,1993
3730284.59,11012401.949999996,4151828.5700000008,12516291.380000003,4284315.219999999,2538121.0299999993,946840.81,1030575.1500000001,7939561.9,1994
21133238.71999999,30470875.050000004,15782354.26,43266947.35000002,16805779.65,7945989.790000001,9575257.270000001,2778362.0199999996,0,1995
43111400.79999998,70134209.08000001,32796401.939999998,82238039.19,35311379.76,15614300.760000004,29727896.489999995,4956807.190000001,6866093.109999999,1996
41140668,92455964.00999993,35158624.11,68754069.34,43737118.44000001,21539938.719999995,16057944.469999999,7212790.840000001,2240658.27,1997
53496945.999999985,93556009.79000002,38312029.060000025,95953729.70000008,56148733.20000001,20122226.68,7581595.49,8127412.3100000005,530414.65,1998
55485577.870000005,176206178.68999994,52434139.110000044,101370156.14999999,58779195.170000024,29677022.709999993,25202071.000000015,7192903.130000001,5102214.739999998,1999
54986401.540000014,173613896.64999998,44875978.12999998,112614453.96999997,57509778.75000001,27935919.32999999,6761863.1,9909667.520000001,238392324,2000
38531874.869999975,124632817.3,36515749.25,76017691.91000006,66160548.450000025,19565596.83,8847017.519999996,6006633.029999999,2279164.92,2001
36320933.96999999,107623811.25999999,40292298.000000015,77418452.85000008,62719161.530000046,16358040.120000008,5780649.390000001,4589499.200000001,143820,2002
28033111.129999995,110666428.51999998,37691632.52000001,60307603.15999995,43387358.599999994,17008695.879999995,8681774.55,5835653.83,175602.83,2003
34762670.93999998,106806184.21000004,50961774.88999999,90031835.33999999,52932359.38999999,22553822.799999982,7324992.750000002,7180078.709999999,21240,2004
44555320.01999999,122176037.53999999,56477012.05,96747504.71000001,75452553.54999995,20499186.11999999,10100087.899999997,6331056.890000001,47311.22,2005
53981163.01999995,132181840.2400001,80613584.01000002,114534399.77999994,75765325.06,38773343.57999998,21347735.550000012,11626110.09,30235705.910000004,2006
60486057.57999995,150059596.90000007,106523358.69000012,100898104.95999989,65238661.92999996,34435492.36999999,14911268.12,13583353.229999997,243973.66999999998,2007
68133109.61000018,164088618.61000025,105527293.06000018,113724562.58000006,58187928.09000003,38852175.66999995,10147047.990000004,14067533.909999989,48448688.74999999,2008
93503541.82000002,242410888.27999938,129833108.50999996,140551240.16999993,75489621.02000004,46012851.34000002,13437037.760000005,12244614.499999996,2096061.2400000002,2009
102638550.42000002,260869711.08999956,185931083.87999988,189391808.44999993,70496587.86000001,49379949.97999997,16923370.510000005,24184252.409999996,30820332.409999985,2010
113997982.86999995,273732117.0898999,166677284.30000013,157936053.75,84776888.14000005,59100735.67000006,20430484.86999999,22348940.64999999,35341884.02000001,2011
118516748.14,310021814.38,214055435.46000046,177894821.35000014,86414781.39,58115701.48999998,19418588.84,24543837.569999993,26610328.130000003,2012
134755587.32000002,485211301.09999955,275853938.1887997,344499569.63,168293449.33999994,70136790.53000006,18695511.479999997,26655870.33,101800741.43000004,2013
105735457.88,297573664.26,208925622.71999967,367058225.3000006,107593412.73920006,72438960.01000004,19457347.79,21489157.25999999,19170263.65,2014
87049520.31,259531846.70990014,158194004.00999987,179061493.85999998,129043193.62999998,65930657.58000004,16790662.26999999,22218038.65,44930224.0501,2015
92877163.89,232405771.09999985,173586251.13999987,205705636.3899999,125880525.38,63877405.66000001,16481983.520000003,16274835.760000002,54582594.17000002,2016
92395740.35999998,299909703.7099998,178048803.7899999,233896773.10999995,151297885.30999994,68881339.92999999,16250543.179999996,18556965.11,29152526.999999993,2017
135788334.82999998,312220883.21000016,187772933.3900001,231790411.76000023,173201220.06999993,77404191.60999998,22319740.04000001,18718614.750000004,45776832.26000002,2018
117856239.11999995,309490791.3100001,170225913.98000014,233532079.60999984,119708573.07999995,76405689.82999995,56881714.510000005,18876644.34000001,51907045.43000001,2019
68009542.51999994,189319596.44999987,166569583.92999974,202993111.35000008,72971056.20999998,39351844.72,15811192.620000005,9002033.220000003,66537531.46999999,2020
60723829.130000025,154821308.55999994,129406499.89999989,162266996.02999985,77459806.51000002,31669459.080000028,20631378.830000006,9376971.740000006,32008115.57000001,2021
