name,x,y
Ciências Agrárias,1995,1
Ciências Agrárias,1997,2
Ciências Agrárias,1998,4
Ciências Agrárias,1999,10
Ciências Agrárias,2000,31
Ciências Agrárias,2001,40
Ciências Agrárias,2002,55
Ciências Agrárias,2003,67
Ciências Agrárias,2004,93
Ciências Agrárias,2005,74
Ciências Agrárias,2006,108
Ciências Agrárias,2007,152
Ciências Agrárias,2008,163
Ciências Agrárias,2009,232
Ciências Agrárias,2010,233
Ciências Agrárias,2011,264
Ciências Agrárias,2012,342
Ciências Agrárias,2013,400
Ciências Agrárias,2014,505
Ciências Agrárias,2015,668
Ciências Agrárias,2016,739
Ciências Agrárias,2017,906
Ciências Agrárias,2018,1074
Ciências Agrárias,2019,1152
Ciências Agrárias,2020,1261
Ciências Agrárias,2021,806
Ciências Agrárias,2022,2
Ciências Biológicas,1995,2
Ciências Biológicas,1997,2
Ciências Biológicas,1998,23
Ciências Biológicas,1999,41
Ciências Biológicas,2000,85
Ciências Biológicas,2001,121
Ciências Biológicas,2002,184
Ciências Biológicas,2003,252
Ciências Biológicas,2004,366
Ciências Biológicas,2005,355
Ciências Biológicas,2006,383
Ciências Biológicas,2007,470
Ciências Biológicas,2008,563
Ciências Biológicas,2009,797
Ciências Biológicas,2010,844
Ciências Biológicas,2011,935
Ciências Biológicas,2012,1055
Ciências Biológicas,2013,1221
Ciências Biológicas,2014,1432
Ciências Biológicas,2015,1790
Ciências Biológicas,2016,2072
Ciências Biológicas,2017,2352
Ciências Biológicas,2018,2432
Ciências Biológicas,2019,2645
Ciências Biológicas,2020,2767
Ciências Biológicas,2021,1579
Ciências Biológicas,2022,1
Ciências da Saúde,1994,1
Ciências da Saúde,1995,1
Ciências da Saúde,1997,5
Ciências da Saúde,1998,8
Ciências da Saúde,1999,54
Ciências da Saúde,2000,53
Ciências da Saúde,2001,71
Ciências da Saúde,2002,78
Ciências da Saúde,2003,125
Ciências da Saúde,2004,184
Ciências da Saúde,2005,187
Ciências da Saúde,2006,251
Ciências da Saúde,2007,271
Ciências da Saúde,2008,356
Ciências da Saúde,2009,517
Ciências da Saúde,2010,689
Ciências da Saúde,2011,766
Ciências da Saúde,2012,862
Ciências da Saúde,2013,940
Ciências da Saúde,2014,1210
Ciências da Saúde,2015,1337
Ciências da Saúde,2016,1388
Ciências da Saúde,2017,1618
Ciências da Saúde,2018,1779
Ciências da Saúde,2019,1857
Ciências da Saúde,2020,2072
Ciências da Saúde,2021,1259
Ciências Exatas e da Terra,1994,1
Ciências Exatas e da Terra,1995,2
Ciências Exatas e da Terra,1997,9
Ciências Exatas e da Terra,1998,27
Ciências Exatas e da Terra,1999,59
Ciências Exatas e da Terra,2000,110
Ciências Exatas e da Terra,2001,156
Ciências Exatas e da Terra,2002,184
Ciências Exatas e da Terra,2003,218
Ciências Exatas e da Terra,2004,306
Ciências Exatas e da Terra,2005,274
Ciências Exatas e da Terra,2006,298
Ciências Exatas e da Terra,2007,288
Ciências Exatas e da Terra,2008,400
Ciências Exatas e da Terra,2009,593
Ciências Exatas e da Terra,2010,615
Ciências Exatas e da Terra,2011,699
Ciências Exatas e da Terra,2012,729
Ciências Exatas e da Terra,2013,975
Ciências Exatas e da Terra,2014,1383
Ciências Exatas e da Terra,2015,1627
Ciências Exatas e da Terra,2016,2002
Ciências Exatas e da Terra,2017,2175
Ciências Exatas e da Terra,2018,2531
Ciências Exatas e da Terra,2019,2891
Ciências Exatas e da Terra,2020,2890
Ciências Exatas e da Terra,2021,1544
Ciências Humanas,1998,1
Ciências Humanas,1999,3
Ciências Humanas,2000,2
Ciências Humanas,2001,10
Ciências Humanas,2002,7
Ciências Humanas,2003,13
Ciências Humanas,2004,11
Ciências Humanas,2005,13
Ciências Humanas,2006,13
Ciências Humanas,2007,20
Ciências Humanas,2008,22
Ciências Humanas,2009,17
Ciências Humanas,2010,31
Ciências Humanas,2011,35
Ciências Humanas,2012,35
Ciências Humanas,2013,46
Ciências Humanas,2014,63
Ciências Humanas,2015,91
Ciências Humanas,2016,117
Ciências Humanas,2017,141
Ciências Humanas,2018,141
Ciências Humanas,2019,181
Ciências Humanas,2020,254
Ciências Humanas,2021,88
Ciências Sociais Aplicadas,1996,1
Ciências Sociais Aplicadas,1997,1
Ciências Sociais Aplicadas,1999,1
Ciências Sociais Aplicadas,2000,1
Ciências Sociais Aplicadas,2003,2
Ciências Sociais Aplicadas,2004,1
Ciências Sociais Aplicadas,2008,4
Ciências Sociais Aplicadas,2009,2
Ciências Sociais Aplicadas,2010,3
Ciências Sociais Aplicadas,2011,2
Ciências Sociais Aplicadas,2012,2
Ciências Sociais Aplicadas,2013,7
Ciências Sociais Aplicadas,2014,7
Ciências Sociais Aplicadas,2015,19
Ciências Sociais Aplicadas,2016,17
Ciências Sociais Aplicadas,2017,32
Ciências Sociais Aplicadas,2018,58
Ciências Sociais Aplicadas,2019,71
Ciências Sociais Aplicadas,2020,69
Ciências Sociais Aplicadas,2021,39
Engenharias,1996,1
Engenharias,1997,2
Engenharias,1998,7
Engenharias,1999,14
Engenharias,2000,25
Engenharias,2001,49
Engenharias,2002,54
Engenharias,2003,82
Engenharias,2004,95
Engenharias,2005,101
Engenharias,2006,100
Engenharias,2007,111
Engenharias,2008,138
Engenharias,2009,217
Engenharias,2010,228
Engenharias,2011,207
Engenharias,2012,266
Engenharias,2013,421
Engenharias,2014,516
Engenharias,2015,662
Engenharias,2016,766
Engenharias,2017,890
Engenharias,2018,1095
Engenharias,2019,1368
Engenharias,2020,1457
Engenharias,2021,900
Interdisciplinar,2001,2
Interdisciplinar,2002,1
Interdisciplinar,2003,13
Interdisciplinar,2004,17
Interdisciplinar,2005,12
Interdisciplinar,2006,18
Interdisciplinar,2007,14
Interdisciplinar,2008,16
Interdisciplinar,2009,29
Interdisciplinar,2010,50
Interdisciplinar,2011,41
Interdisciplinar,2012,53
Interdisciplinar,2013,70
Interdisciplinar,2014,74
Interdisciplinar,2015,95
Interdisciplinar,2016,117
Interdisciplinar,2017,108
Interdisciplinar,2018,158
Interdisciplinar,2019,144
Interdisciplinar,2020,219
Interdisciplinar,2021,172
Linguística,1997,1
Linguística,1999,1
Linguística,2000,2
Linguística,2001,2
Linguística,2002,1
Linguística,2003,4
Linguística,2004,3
Linguística,2005,1
Linguística,2006,1
Linguística,2007,6
Linguística,2008,3
Linguística,2009,1
Linguística,2010,1
Linguística,2011,2
Linguística,2012,2
Linguística,2014,4
Linguística,2015,7
Linguística,2016,11
Linguística,2017,11
Linguística,2018,23
Linguística,2019,19
Linguística,2020,26
Linguística,2021,9
